"TAIL_NUMBER","NUMBER_OF_SEATS","MANUFACTURER","MODEL",
"N484HA",123,"Boeing","B7170200",
"N484UA",142,"AirbusIndustries","AirbusA320-232",
"N484WN",143,"THEBOEINGCO","B-737-7H4",
"N485HA",123,"Boeing","B7170200",
"N485MC",0,"BOEING","B747-400",
"N485UA",142,"AirbusIndustries","AirbusA320-232",
"N485WN",143,"THEBOEINGCO","B-737-7H4",
"N486AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N486HA",123,"Boeing","B7170200",
"N486MC",0,"BOEING","B747-400",
"N486UA",142,"AirbusIndustries","AirbusA320-232",
"N486WN",143,"THEBOEINGCO","B-737-7H4",
"N487AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N487CA",50,"Bombardier","CRJ200-2B19",
"N487HA",123,"Boeing","B7170200",
"N487UA",142,"AirbusIndustries","AirbusA320-232",
"N487WN",143,"THEBOEINGCO","B-737-7H4",
"N4888U",120,"AirbusIndustries","AirbusA319-131",
"N488HA",123,"Boeing","B7170200",
"N488UA",142,"AirbusIndustries","AirbusA320-232",
"N488WN",143,"THEBOEINGCO","B-737-7H4",
"N489HA",123,"Boeing","B7170200",
"N489MC",0,"BOEING","B747-400",
"N489UA",142,"AirbusIndustries","AirbusA320-232",
"N489WN",143,"THEBOEINGCO","B-737-7H4",
"N4901U",142,"AirbusIndustries","AirbusA320-232",
"N490HA",123,"Boeing","B7170200",
"N490UA",142,"AirbusIndustries","AirbusA320-232",
"N490WN",143,"THEBOEINGCO","B-737-7H4",
"N491AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N491HA",123,"Boeing","B7170200",
"N491UA",142,"AirbusIndustries","AirbusA320-232",
"N491WN",143,"THEBOEINGCO","B-737-7H4",
"N492AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N492HA",123,"Boeing","B7170200",
"N492MC",0,"BOEING","B747-400",
"N492SW",50,"Bombardier","CRJ200-2B19",
"N492UA",142,"AirbusIndustries","AirbusA320-232",
"N492WN",143,"THEBOEINGCO","B-737-7H4",
"N493AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N493HA",123,"Boeing","B7170200",
"N493MC",0,"BOEING","B747-400",
"N493UA",142,"AirbusIndustries","AirbusA320-232",
"N493WN",143,"THEBOEINGCO","B-737-7H4",
"N494AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N494CA",50,"Bombardier","CRJ200-2B19",
"N494HA",123,"Boeing","B7170200",
"N494UA",142,"AirbusIndustries","AirbusA320-232",
"N494WN",143,"THEBOEINGCO","B-737-7H4",
"N495AS",181,"TheBoeingCompany","B737-990ERALLPAX",
"N495AX",86,"Boeing","BoeingB767-316ERPAX",
"N495HA",123,"Boeing","B7170200",
"N495UA",142,"AirbusIndustries","AirbusA320-232",
"N495WN",143,"THEBOEINGCO","B-737-7H4",
"N496CA",50,"Bombardier","CRJ200-2B19",
"N496MC",0,"BOEING","B747-400",
"N496UA",142,"AirbusIndustries","AirbusA320-232",
"N496WN",143,"THEBOEINGCO","B-737-7H4",
"N497MC",0,"BOEING","B747-400",
"N497UA",142,"AirbusIndustries","AirbusA320-232",
"N497WN",143,"THEBOEINGCO","B-737-7H4",
"N498CA",50,"Bombardier","CRJ200-2B19",
"N498MC",0,"BOEING","B747-400",
"N498UA",142,"AirbusIndustries","AirbusA320-232",
"N498WN",143,"THEBOEINGCO","B-737-7H4",
"N499MC",0,"BOEING","B747-400",
"N499WN",143,"THEBOEINGCO","B-737-7H4",
"N5007E",128,"Airbus","A319-115",
"N500AE",70,"GE","CRJ701",
"N500WR",175,"THEBOEINGCO","B-737-8H4",
"N501BG",70,"GE","CRJ700",
"N501DN",306,"AirbusIndustries","A350-941-PSGR",
"N501GJ",50,"BombardierAerospace","CRJ550",
"N501MJ",66,"Bombardier","CRJ-700-PSGR",
"N5025",0,"Casa","CN235-200",
"N502AE",70,"GE","CRJ701",
"N502DN",306,"AirbusIndustries","A350-941-PSGR",
"N502GJ",50,"BombardierAerospace","CRJ550",
"N502MJ",66,"Bombardier","CRJ-700-PSGR",
"N502NK",145,"AirbusIndustries","A-319-PSGR",
"N502UA",170,"BoeingCo","B757-222PAX",
"N503AE",70,"GE","CRJ701",
